label,support,,,,auroc,,,,,,
,"ECG-FM Pretrained; 
ECG-FM Frozen; 
ECG-FM MIMIC; 
Transformer Baseline",ECG-FM Pretrained-2.5s overlap,ECG-FM Pretrained-1s overlap,ECG-FM Pretrained-random,ECG-FM Pretrained,ECG-FM Frozen,ECG-FM MIMIC,Transformer Baseline,ECG-FM Pretrained-2.5s overlap,ECG-FM Pretrained-1s overlap,ECG-FM Pretrained-random
,Per Segment,,,,,,,,,,
AMI,612,918,1836,306,0.958424878,0.897115607,0.961185901,0.904448469,0.958026649,0.956533266,0.954232821
CLBBB,108,162,324,54,0.997795312,0.99517603,0.996117503,0.991233071,0.997566181,0.997857453,0.997356965
CRBBB,108,162,324,54,0.997870889,0.993919292,0.996899185,0.994735524,0.997689984,0.997687345,0.996536415
ILBBB,16,24,48,8,0.910302511,0.963570205,0.879180936,0.857363014,0.912297057,0.928435756,0.906107306
IMI,654,981,1962,327,0.925145509,0.840076771,0.927045179,0.869619102,0.926582985,0.931020814,0.924846809
IRBBB,224,336,672,112,0.968180729,0.854126361,0.967942106,0.926755539,0.965721971,0.969333895,0.965775236
ISCA,186,279,558,93,0.928167701,0.879614589,0.919745613,0.893305749,0.932372431,0.929885038,0.928444819
ISCI,80,120,240,40,0.946654889,0.821498494,0.910953429,0.8884905,0.942966739,0.946110403,0.945667285
ISC_,256,384,768,128,0.95142663,0.919537855,0.948885681,0.935610092,0.944180254,0.948882431,0.945772947
IVCD,158,237,474,79,0.76879021,0.76349753,0.763324293,0.70438498,0.768801328,0.761644196,0.76854977
LAFB/LPFB,358,537,1074,179,0.962926223,0.917372946,0.964368527,0.958499008,0.96341829,0.96633295,0.9634146
LAO/LAE,84,126,252,42,0.84093946,0.683529905,0.82793036,0.741300579,0.821994238,0.816054434,0.831743087
LMI,40,60,120,20,0.895913682,0.74694674,0.88073921,0.697417355,0.898112438,0.8924912,0.87892562
LVH,428,642,1284,214,0.921315618,0.852016482,0.900990047,0.877361768,0.918700853,0.923708169,0.921151926
NORM,1926,2889,5778,963,0.933759843,0.899500549,0.932341998,0.910438029,0.935206416,0.936590418,0.931200996
NST_,154,231,462,77,0.84996816,0.795929083,0.844691612,0.782296087,0.836970772,0.825296135,0.819161508
RAO/RAE,20,30,60,10,0.937351463,0.903027879,0.955187386,0.854113346,0.936816982,0.935025645,0.928153565
RVH,24,36,72,12,0.921374657,0.888685575,0.897996722,0.865078911,0.920732947,0.853013495,0.953491918
STTC,444,666,1332,222,0.876662974,0.836684356,0.875850864,0.852189677,0.882182537,0.885654727,0.870942299
WPW,16,24,48,8,0.921646689,0.980893265,0.883376142,0.825699201,0.957521563,0.959964802,0.978652968
_AVB,164,246,492,82,0.975542037,0.958584997,0.96423014,0.819467818,0.974099774,0.971475716,0.967460464
,Per Record,,,,,,,,,,
AMI,306,306,306,306,0.960426771,0.898041634,0.964256104,0.913158604,0.960457862,0.958654603,
CLBBB,54,54,54,54,0.997901119,0.995491294,0.996648701,0.993444237,0.99770246,0.997978856,
CRBBB,54,54,54,54,0.998039317,0.993988391,0.997305141,0.995776327,0.998013405,0.997875207,
ILBBB,8,8,8,8,0.911415525,0.965353881,0.882591324,0.879908676,0.914726027,0.930821918,
IMI,327,327,327,327,0.929075197,0.841223765,0.932675947,0.881124585,0.931391249,0.93525515,
IRBBB,112,112,112,112,0.971733324,0.855139707,0.970950041,0.938240481,0.969447678,0.97237536,
ISCA,93,93,93,93,0.930998902,0.880223738,0.92348479,0.900687048,0.935555385,0.932863382,
ISCI,40,40,40,40,0.949942076,0.822856812,0.914562095,0.897926321,0.945806302,0.950324374,
ISC_,128,128,128,128,0.953879831,0.920327597,0.952087107,0.942606431,0.947652476,0.951539855,
IVCD,79,79,79,79,0.774774344,0.763985878,0.772355004,0.720969409,0.777062264,0.768579638,
LAFB/LPFB,179,179,179,179,0.964886649,0.918043946,0.966859527,0.96309086,0.966176076,0.968572306,
LAO/LAE,42,42,42,42,0.849776924,0.683927467,0.835917484,0.765151515,0.833587331,0.824840975,
LMI,20,20,20,20,0.905945822,0.748071625,0.891758494,0.717171717,0.910491276,0.902754821,
LVH,214,214,214,214,0.926025023,0.853100505,0.905161856,0.886555057,0.924199672,0.928987979,
NORM,963,963,963,963,0.93621653,0.900322457,0.935662425,0.915550679,0.938072235,0.939329272,
NST_,77,77,77,77,0.8555876,0.796346982,0.851711702,0.793279328,0.843923168,0.83330578,
RAO/RAE,10,10,10,10,0.939899452,0.904570384,0.958683729,0.877422303,0.938665448,0.936974406,
RVH,12,12,12,12,0.923032937,0.888723696,0.901913693,0.87804971,0.922194267,0.853690149,
STTC,222,222,222,222,0.881095671,0.837760331,0.882746106,0.861750921,0.887558358,0.890134314,
WPW,8,8,8,8,0.925171233,0.981906393,0.883219178,0.886415525,0.961757991,0.966666667,
_AVB,82,82,82,82,0.978041865,0.958971137,0.967627599,0.838178339,0.977010236,0.974013325,
